,product_id,quantity,product_type,product,brand,price,category,uid,experiment_name,amount,way_of_purchase
0,117,1.0,competitor,Dyson Supersonic Sèche-Cheveux édition spéciale Fuchsia avec Grand boîtier,Dyson,398.99,-,6538f327-4c9e-6808-9928-393b85a14351,Experiment 1 Reverso 2 in one,398.99,from_page
1,127,1.0,competitor,"Rowenta Brosse rotative à air chaud, Poils naturels, Enduit de kératine de cachemire, Protège les cheveux, 2 accessoires inclus, Brush Activ Premium Care CF9540F0",Rowenta,69.9,-,6538f573-a5f9-ff1a-7c97-ec78dfbf7368,Experiment 2 Dry brush and Duo,69.9,not_buyer
2,122,1.0,competitor,BaByliss Sèche-cheveux Speed Pro 2000 Moteur AC Fabriqué en Italie 6704WE,Babyliss,38.22,-,6538f5d8-e95f-0920-01b7-fb481bcfe24b,Experiment 1 Reverso 2 in one,38.22,from_page
3,127,2.0,competitor,"Rowenta Brosse rotative à air chaud, Poils naturels, Enduit de kératine de cachemire, Protège les cheveux, 2 accessoires inclus, Brush Activ Premium Care CF9540F0",Rowenta,69.9,-,6538f5c1-ba3f-8ec0-6f99-ccd4b9f799f2,Experiment 1 Reverso 2 in one,139.8,from_page
4,126,2.0,competitor,"Bellissima Brosse Soufflante My Pro GH18 1100 - Brushing Professionnel avec Embouts en Céramique, Système Dry & Style 5 en 1 - 2 Combinaisons de Débit d'Air / Température, Position Air Froid Cool Fix",Bellissima,49.89,-,6538f678-a8f0-1918-e002-82da0ef13aa1,Experiment 2 Dry brush and Duo,99.78,from_page
5,116,1.0,competitor,"Remington Sèche-cheveux Ionique [Puissant & Léger] Ionic Dry Violet (2200W, coiffage délicat en douceur & répartition uniforme de la chaleur, 3 températures / 2 vitesses, Air frais, diffuseur) D3190",Remington,28.4,-,6538f77f-8c0b-42ac-cf14-35da35148724,Experiment 2 Dry brush and Duo,28.4,not_buyer
6,117,1.0,competitor,Dyson Supersonic Sèche-Cheveux édition spéciale Fuchsia avec Grand boîtier,Dyson,398.99,-,6538f802-fc51-d7c2-ef77-05f116504ca1,Experiment 1 Reverso 2 in one,398.99,from_page
7,119,1.0,competitor,BaByliss Sèche-Cheveux Turbo Smooth 2200 avec Technologie Ionique et Céramique,Babyliss,28.9,-,6538f830-156f-e4ca-70bb-d6c80368b8a7,Experiment 1 Reverso 2 in one,28.9,not_buyer
8,186,1.0,variation,"Rowenta, DRY & BRUSH DUO, Ultimate Experience.  Innovation: sèche cheveux et brosse soufflante combinés, coiffage rapide et facile, sèche et coiffe, résultat brushing naturel, cheveux brillants, technologie ionique.",Rowenta,89.0,-,6538f949-be99-6c7b-ac52-09740785e9d0,Experiment 2 Dry brush and Duo,89.0,from_page
9,132,2.0,competitor,"Bellissima Brosse Soufflante Ionique Air Wonder - Brosse Chauffante Brushing, Brosses en Céramique, Enduites de Kératine - 2 Températures et Air Frais - Sèche, Volume, 8 Accessoires Inclus, 1000 W",Bellissima,79.47,-,6538f9a0-4401-85aa-b465-e75b3e20290f,Experiment 2 Dry brush and Duo,158.94,from_page
10,123,2.0,competitor,Sèche-Cheveux Philips Série 3000 avec Fonction Ionique Avancée (modèle BHD351/10),Philips,19.99,-,6538f9f0-9463-4f75-3b71-f70a76facb46,Experiment 1 Reverso 2 in one,39.98,from_page
11,114,2.0,competitor,"Babyliss Sèche-Cheveux Smooth Pro, Noir",Babyliss,29.99,-,6538f9c9-c710-57d3-534c-50179ace45c4,Experiment 2 Dry brush and Duo,59.98,from_page
12,125,1.0,competitor,"Sèche-cheveux volumisant Salon Revlon (One-Step, technologie IONIQUE et CÉRAMIQUE, cheveux longs et mi-longs) RVDR5222",Revlon,38.45,-,6538f99f-82f8-51c9-1cc3-8f8a54d4ff97,Experiment 2 Dry brush and Duo,38.45,from_page
13,129,1.0,competitor,"Revlon Salon One-Step Sèche-cheveux volumisant, cheveux mi-longs à courts, RVDR5282UKE",Revlon,42.99,-,6538fb4e-6d3d-6372-f109-cb2535fd6486,Experiment 2 Dry brush and Duo,42.99,from_page
14,125,1.0,competitor,"Sèche-cheveux volumisant Salon Revlon (One-Step, technologie IONIQUE et CÉRAMIQUE, cheveux longs et mi-longs) RVDR5222",Revlon,38.45,-,6538fc22-c7cc-ae6a-5db1-2a921d7d03b0,Experiment 2 Dry brush and Duo,38.45,not_buyer
15,125,2.0,competitor,"Sèche-cheveux volumisant Salon Revlon (One-Step, technologie IONIQUE et CÉRAMIQUE, cheveux longs et mi-longs) RVDR5222",Revlon,38.45,-,6538fb72-2bd8-a0f2-5ba5-8c69dd17ada9,Experiment 1 Reverso 2 in one,76.9,from_page
16,117,1.0,competitor,Dyson Supersonic Sèche-Cheveux édition spéciale Fuchsia avec Grand boîtier,Dyson,398.99,-,6538fc10-ac3a-d0de-d8b0-b94c1c220142,Experiment 1 Reverso 2 in one,398.99,not_buyer
17,127,1.0,competitor,"Rowenta Brosse rotative à air chaud, Poils naturels, Enduit de kératine de cachemire, Protège les cheveux, 2 accessoires inclus, Brush Activ Premium Care CF9540F0",Rowenta,69.9,-,6538fb8e-9039-38bb-fff8-9ed389cd1e1a,Experiment 1 Reverso 2 in one,69.9,from_page
18,128,1.0,competitor,"Babyliss AS952E - BaByliss Paris - Brosse soufflante rotative Big Hair Dual, Or, 1 Unité (Lot de 1)",Babyliss,34.99,-,6538fcbd-bedd-830f-2c1b-673095fc4aca,Experiment 1 Reverso 2 in one,34.99,not_buyer
19,125,1.0,competitor,"Sèche-cheveux volumisant Salon Revlon (One-Step, technologie IONIQUE et CÉRAMIQUE, cheveux longs et mi-longs) RVDR5222",Revlon,38.45,-,6538fb43-b3ec-7d9f-6261-0cc1fa979372,Experiment 2 Dry brush and Duo,38.45,not_buyer
20,117,1.0,competitor,Dyson Supersonic Sèche-Cheveux édition spéciale Fuchsia avec Grand boîtier,Dyson,398.99,-,6538ff1f-8d5e-4fae-dbcb-2b3781661abf,Experiment 2 Dry brush and Duo,398.99,from_page
